filename, language, JSON, JavaScript, Markdown, comment, blank, total
c:\Users\patty\Desktop\projects\oogura-kun\.eslintrc.json, JSON, 47, 0, 0, 0, 0, 47
c:\Users\patty\Desktop\projects\oogura-kun\README.md, Markdown, 0, 0, 4, 0, 2, 6
c:\Users\patty\Desktop\projects\oogura-kun\commands\anilist.js, JavaScript, 0, 47, 0, 3, 12, 62
c:\Users\patty\Desktop\projects\oogura-kun\commands\avatar.js, JavaScript, 0, 13, 0, 0, 1, 14
c:\Users\patty\Desktop\projects\oogura-kun\commands\mangadex.js, JavaScript, 0, 26, 0, 8, 8, 42
c:\Users\patty\Desktop\projects\oogura-kun\commands\mdlistlog.js, JavaScript, 0, 43, 0, 0, 8, 51
c:\Users\patty\Desktop\projects\oogura-kun\commands\ping.js, JavaScript, 0, 9, 0, 0, 0, 9
c:\Users\patty\Desktop\projects\oogura-kun\commands\reload.js, JavaScript, 0, 22, 0, 0, 3, 25
c:\Users\patty\Desktop\projects\oogura-kun\commands\server.js, JavaScript, 0, 11, 0, 0, 0, 11
c:\Users\patty\Desktop\projects\oogura-kun\commands\time.js, JavaScript, 0, 10, 0, 0, 0, 10
c:\Users\patty\Desktop\projects\oogura-kun\commands\user.js, JavaScript, 0, 9, 0, 0, 0, 9
c:\Users\patty\Desktop\projects\oogura-kun\embeds\alEmbedMedia.js, JavaScript, 0, 86, 0, 0, 5, 91
c:\Users\patty\Desktop\projects\oogura-kun\embeds\avaEmbed.js, JavaScript, 0, 10, 0, 0, 0, 10
c:\Users\patty\Desktop\projects\oogura-kun\embeds\userEmbed.js, JavaScript, 0, 6, 0, 0, 0, 6
c:\Users\patty\Desktop\projects\oogura-kun\index.js, JavaScript, 0, 67, 0, 15, 22, 104
c:\Users\patty\Desktop\projects\oogura-kun\package-lock.json, JSON, 141, 0, 0, 0, 1, 142
c:\Users\patty\Desktop\projects\oogura-kun\package.json, JSON, 28, 0, 0, 0, 1, 29
c:\Users\patty\Desktop\projects\oogura-kun\queries\alQueryMedia.js, JavaScript, 0, 27, 0, 0, 0, 27
Total, -, 216, 386, 4, 26, 63, 695